Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
AB1,2020,5,18.0516129,2.24516129,1.411290323,0.235032258,58.32258065
AB1,2020,6,22.27666667,3.486666667,1.717666667,0.258666667,60.83333333
AB1,2020,7,25.59354839,0.793548387,2.180322581,0.230290323,59.64516129
AB1,2020,8,28.00967742,0.093548387,2.962258065,0.153,43.90322581
AB1,2020,9,21.50666667,1.223333333,1.759666667,0.217333333,55.43333333
AB1,2020,10,9.567741935,1.25483871,0.859677419,0.239903226,64.29032258
AB1,2020,11,4.39,1.853333333,0.392333333,0.298133333,73.16666667
AB1,2020,12,1.332258065,0.451612903,0.252903226,0.350096774,75.32258065
AB1,2021,1,2.75483871,0.138709677,0.411290323,0.311548387,65.77419355
AB1,2021,2,-4.975,0.403571429,0.335,0.298107143,58.46428571
AB1,2021,3,10.14516129,0.416129032,0.881290323,0.3,54.09677419
AB1,2021,4,12.75666667,0.513333333,1.147666667,0.233733333,50.46666667
AB1,2021,5,16.0516129,2.638709677,1.199354839,0.262645161,63.77419355
AB1,2021,6,26.21666667,1.28,2.477666667,0.212233333,51.6
AB1,2021,7,30.26774194,0.238709677,3.059677419,0.172193548,51.74193548
AB1,2021,8,25.73548387,1.541935484,2.404193548,0.222225806,55.12903226
AB1,2021,9,22.58333333,0.536666667,2.07,0.1958,48.9
AB1,2021,10,14.79677419,0.551612903,1.222580645,0.183129032,54.29032258
AB1,2021,11,8.39,0.843333333,0.636333333,0.274633333,61.56666667
AB1,2021,12,-4.683870968,0.693548387,0.278387097,0.284612903,63.87096774
AB1,2022,1,0.251612903,0.570967742,0.398709677,0.297225806,62.29032258
AB1,2022,2,1.117857143,1.021428571,0.437142857,0.317178571,61.78571429
AB1,2022,3,6.674193548,0.577419355,0.660967742,0.342451613,64.35483871
AB1,2022,4,10.17,0.973333333,1.000333333,0.265233333,50.23333333
AB1,2022,5,18.17419355,1.3,1.603225806,0.209032258,50.06451613
AB1,2022,6,21.29333333,4.713333333,1.492,0.3223,65.6
AB1,2022,7,27.23870968,1.777419355,2.379354839,0.237548387,61.83870968
AB1,2022,8,29.59677419,0.329032258,3.170322581,0.169387097,48.16129032
AB1,2022,9,24.26,0.313333333,2.288666667,0.181833333,49.63333333
AB1,2022,10,16.2,1.177419355,1.267741935,0.195774194,58.93548387
AB1,2022,11,-2.096666667,1.5,0.188,0.278,76.86666667
AB1,2022,12,-6.767741935,1.351612903,0.130322581,0.312677419,75.74193548
AB1,2023,1,-0.177419355,0.522580645,0.219032258,0.373064516,77.32258065
AB1,2023,2,1.060714286,0.617857143,0.419285714,0.339071429,63.07142857
AB1,2023,3,0.461290323,0.758064516,0.305483871,0.366322581,74.90322581
AB1,2023,4,11.25,0.643333333,0.946666667,0.334033333,59.83333333
AB1,2023,5,23.16451613,1.251612903,2.103870968,0.207548387,54.06451613
AB1,2023,6,25.72666667,1.16,2.383666667,0.198,53.86666667
AB1,2023,7,28.47741935,0.822580645,2.988709677,0.199419355,49.09677419
AB1,2023,8,27.92258065,0.458064516,2.824193548,0.192258065,50.16129032
AB1,2023,9,23.65666667,0.576666667,2.240666667,0.1674,50.03333333
AB1,2023,10,12.01290323,1.022580645,0.974193548,0.249290323,65.83870968
AB1,2023,11,6.756666667,0.296666667,0.545666667,0.2416,66.8
AB1,2023,12,5.667741935,0.2,0.498064516,0.215419355,65.06451613
AB1,2024,1,-4.861290323,0.64516129,0.196774194,0.248709677,75.4516129
AB1,2024,2,1.648275862,0.924137931,0.295172414,0.321068966,76.89655172
AB1,2024,3,2.351612903,1.122580645,0.469677419,0.334419355,71
AB1,2024,4,12.88,1.216666667,1.066666667,0.3013,56.8
AB1,2024,5,16.75483871,4.048387097,1.17516129,0.333258065,67.41935484
AB1,2024,6,21.70333333,1.636666667,1.800333333,0.2537,56.26666667
AB1,2024,7,28.5516129,1.24516129,2.657741935,0.24883871,58.32258065
AB1,2024,8,26.59354839,1.064516129,2.426129032,0.207516129,54.80645161
AB1,2024,9,22.98666667,2.093333333,1.831,0.2754,60.16666667
AB1,2024,10,16.45483871,0.238709677,1.317096774,0.237096774,55.80645161
