Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
Colorado,2004,10,4.912903226,1.441935484,0.531290323,0.376741935,67.5483871
Colorado,2004,11,-1.086666667,1.58,0.306666667,0.376633333,72.2
Colorado,2004,12,-4.848387097,0.567741935,0.229032258,0.349548387,69.38709677
Colorado,2005,1,-3.425806452,1.290322581,0.238709677,0.340225806,73.41935484
Colorado,2005,2,-3.939285714,0.460714286,0.248571429,0.332535714,68.78571429
Colorado,2005,3,-3.067741935,1.464516129,0.284516129,0.327774194,67.06451613
Colorado,2005,4,2.166666667,2.693333333,0.462666667,0.332533333,64.36666667
Colorado,2005,5,7.470967742,1.148387097,0.698709677,0.378451613,63.38709677
Colorado,2005,6,12.89,2.193333333,1.053333333,0.400366667,58.86666667
Colorado,2005,7,18.9483871,1.641935484,1.700322581,0.302129032,49
Colorado,2005,8,15.73225806,2.629032258,1.187096774,0.349064516,63.38709677
Colorado,2005,9,13.83,0.91,1.144,0.2985,57.5
Colorado,2005,10,6.448387097,1.935483871,0.600322581,0.341774194,68.06451613
Colorado,2005,11,-0.67,1.036666667,0.367,0.355866667,64.66666667
Colorado,2005,12,-6.470967742,0.780645161,0.18483871,0.33616129,71.77419355
Colorado,2006,1,-5.409677419,0.603225806,0.225483871,0.327193548,68.51612903
Colorado,2006,2,-5.367857143,0.7,0.257857143,0.321285714,65.17857143
Colorado,2006,3,-2.403225806,1.483870968,0.309032258,0.315387097,66.67741935
Colorado,2006,4,3.873333333,1.036666667,0.546,0.338966667,59.73333333
Colorado,2006,5,8.6,1.922580645,0.769032258,0.388612903,59.80645161
Colorado,2006,6,15.99,0.946666667,1.400666667,0.340166667,50.56666667
Colorado,2006,7,17.89677419,3.858064516,1.326129032,0.369935484,66.87096774
Colorado,2006,8,15.53225806,4.287096774,1.074516129,0.384774194,69.83870968
